White Population (Estimated) Rate,Black or African American Population (Estimated) Rate,American Indian and Alaska Native Population (Estimated) Rate,Asian Population (Estimated) Rate,Native Hawaiian and Other Pacific Islander Population (Estimated) Rate,Hispanic Population (Estimated) Rate,US Census Population Estimate Rate,Total Employment (Number of Jobs) Rate,Personal Income Rate,Personal Consumption Expenditures Rate,Total Educational Attainment Estimate Rate,Total Opioid Claims Rate,Total Claims Rate,Opioid Prescribing Rate,Long Acting Total Opioid Claims Rate,Long Acting Opioid Prescribing Rate,Total Opioid Prescriptions Rate,Any Opioid Overdose Rate,Prescription Opioid Overdose Rate, Synthetic Opioids other than Methadone (primarily fentanyl) Overdose Rate,2013,2014,2015,2016,2017,2018,2019,2020,2021,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0.783604778,0.149539549,0.021628104,0.072600293,0.005203743,0.18861211,1,0.61064106,0.064116524,0.047894771,0.687264392,0.065217371,2.067951936,0.0315,0.014073671,0.2158,0.42049458,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.706118365,0.277944912,0.014261227,0.020001798,0.002000853,0.047735515,0.015208934,0.548425437,0.049670584,0.039578771,0.683428366,0.034701454,1.490234752,0.0233,0.001538067,0.0443,0.783017145,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.713663642,0.056028342,0.205985709,0.090476203,0.023840138,0.075708748,0.002211181,0.603456636,0.065677448,0.054219662,0.661660188,0.079448965,1.956439956,0.0406,0.009637937,0.1213,0.35480167,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.849567171,0.067183656,0.06213801,0.049943447,0.005307592,0.322211512,0.02188008,0.56254249,0.055574141,0.044945923,0.685530808,0.070518193,1.972968159,0.0357,0.004448389,0.0631,0.412897011,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.807971079,0.167194386,0.021371332,0.022861364,0.005561863,0.083029019,0.009119983,0.556927363,0.050587724,0.039015634,0.672946136,0.052656069,1.574963624,0.0334,0.001646235,0.0313,0.779136045,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.748071935,0.077957354,0.028455592,0.182251223,0.009467825,0.400551506,0.117889371,0.611464489,0.076800056,0.053210211,0.687476054,0.059437435,2.10361196,0.0283,0.003487368,0.0587,0.278407238,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.895248858,0.059755507,0.028414827,0.048913521,0.004331563,0.222571312,0.017502243,0.686405634,0.070715401,0.053380855,0.69591728,0.066889371,1.383952842,0.0483,0.00675856,0.101,0.376510097,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.81156304,0.14296667,0.013437546,0.058657239,0.002515072,0.17702516,0.010912683,0.631887022,0.082885475,0.055529226,0.699455615,0.069836381,2.474759995,0.0282,0.006276227,0.0899,0.347993779,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.70979203,0.255432138,0.014458498,0.05022457,0.002312882,0.101129869,0.003026239,0.617384234,0.059845921,0.051040449,0.707702076,0.076067344,2.761771166,0.0275,0.011277788,0.1483,0.441544496,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.482919178,0.476317714,0.015100383,0.057832716,0.003153452,0.114926786,0.002014239,1.300463074,0.096659046,0.078957253,0.715879849,0.064837894,2.201312518,0.0295,0.002685443,0.0414,0.255906554,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.789452837,0.18401953,0.010615552,0.038591503,0.00287167,0.267498834,0.065740948,0.61654675,0.062136445,0.050580219,0.722103362,0.031136332,1.260909566,0.0247,0.002368144,0.0761,0.451780549,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.614513179,0.343832687,0.011894573,0.053229557,0.002547546,0.102452543,0.032490975,0.615465161,0.055845604,0.043528684,0.670583199,0.045465024,1.428818925,0.0318,0.002395618,0.0527,0.542877017,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.437773727,0.036642956,0.026413222,0.57319608,0.273707567,0.110167957,0.004358483,0.595027205,0.060710678,0.048964658,0.705997427,0.051485882,1.382798928,0.0372,0.003537979,0.0687,0.259165231,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.953288166,0.01575633,0.029064009,0.026412136,0.005012304,0.132496006,0.00573534,0.597389926,0.052275833,0.039668458,0.660377438,0.074003027,2.061553399,0.0359,0.004703006,0.0636,0.522942645,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.782318074,0.158799505,0.011562634,0.069279482,0.001582237,0.180724203,0.038208625,0.610865561,0.067164638,0.049499668,0.688189677,0.061978081,1.975157942,0.0314,0.001703232,0.0275,0.380858929,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.86415944,0.116299446,0.010269564,0.032557123,0.001616489,0.077102595,0.020520736,0.583900538,0.056434754,0.042649304,0.669202258,0.085826705,2.565949643,0.0334,0.004086133,0.0476,0.548891676,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.920754958,0.054772368,0.0112672,0.032915959,0.002962765,0.067290784,0.009630678,0.642299173,0.057080129,0.041697301,0.668376756,0.169301955,2.439938343,0.0694,0.108246612,0.6394,0.385681034,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
