Index,Year,Geo_Desc,White (Estimated),Black or African American (Estimated),American Indian and Alaska Native (Estimated),Asian (Estimated),Native Hawaiian and Other Pacific Islander (Estimated),Hispanic (Estimated),US Census Population Estimate,Total Employment (Number of Jobs),Personal Income,Personal Consumption Expenditures,Total Educational Attainment Estimate,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,total_opioid_prescriptions,tot_presc_opioid_od,,,,,,,,
1,2021,United States,260181512,49651849,7181213,24105588,1727807,62625172,332031554,202752100,21288709,15902575.3,30225003,21654225,686625295,3.15,4672903,21.58,"139,617,469",106250,,,,,,,,
2,2021,Alabama,"3,565,789","1,403,579","72,017","101,006","10,104","241,057",5049846,2769464,250828.8,199866.7,468727,175237,7525456,2.33,7767,4.43,"3,954,116",1615.95072,,,,,,,,
3,2021,Alaska,"523,959","41,135","151,231","66,426","17,503","55,584",734182,443047,48219.2,39807.1,67493,58330,1436383,4.06,7076,12.13,"260,489",234.93824,,,,,,,,
4,2021,Arizona,"6,172,001","488,081","451,425","362,833","38,559","2,340,827",7264877,4086802,403739.3,326526.6,681735,512306,14333371,3.57,32317,6.31,"2,999,646",2324.76064,,,,,,,,
5,2021,Arkansas,"2,446,635","506,285","64,715","69,227","16,842","251,422",3028122,1686444,153185.8,118144.1,284335,159449,4769182,3.34,4985,3.13,"2,359,319",968.99904,,,,,,,,
6,2021,California,"29,281,773","3,051,484","1,113,837","7,133,858","370,599","15,678,784",39142991,23934549,3006183.9,2082806.8,3558188,2326559,82341664,2.83,136506,5.87,"10,897,692",12525.75712,,,,,,,,
7,2021,Colorado,"5,202,557","347,257","165,127","284,251","25,172","1,293,428",5811297,3988907,410948.2,310212,525940,388714,8042561,4.83,39276,10.1,"2,188,012",1859.61504,,,,,,,,
8,2021,Connecticut,"2,940,581","518,019","48,689","212,536","9,113","641,425",3623355,2289551,300323.5,201202.1,343982,253042,8966934,2.82,22741,8.99,"1,260,905",1159.4736,,,,,,,,
9,2021,Delaware,"713,204","256,660","14,528","50,466","2,324","101,616",1004807,620352,60133.6,51285.8,83763,76433,2775047,2.75,11332,14.83,"443,667",321.53824,,,,,,,,
10,2021,District of Columbia,"322,972","318,557","10,099","38,678","2,109","76,862",668791,869738,64644.7,52805.9,65547,43363,1472218,2.95,1796,4.14,"171,148",214.01312,,,,,,,,
11,2021,Florida,"17,232,231","4,016,791","231,717","842,378","62,683","5,838,983",21828069,13458025,1356318.6,1104068.5,1731183,679646,27523221,2.47,51692,7.61,"9,861,497",6984.98208,,,,,,,,
12,2021,Georgia,"6,629,386","3,709,277","128,319","574,242","27,483","1,105,261",10788029,6639656,602464,469588.7,1043171,490478,15414140,3.18,25844,5.27,"5,856,573",3452.16928,,,,,,,,
13,2021,Hawaii,"633,526","53,028","38,224","829,503","396,097","159,430",1447154,861096,87857.7,70859.4,115665,74508,2001123,3.72,5120,6.87,"375,052",463.08928,,,,,,,,
14,2021,Idaho,"1,815,360","30,005","55,347","50,297","9,545","252,314",1904314,1137618,99549.6,75541.2,173371,140925,3925845,3.59,8956,6.36,"995,847",609.38048,,,,,,,,
15,2021,Illinois,"9,924,854","2,014,605","146,689","878,912","20,073","2,292,752",12686469,7749727,852082.1,627976,1140595,786283,25057780,3.14,21608,2.75,"4,831,755",4059.67008,,,,,,,,
16,2021,Indiana,"5,887,978","792,410","69,972","221,829","11,014",525341,6813532,3978425,384520,290592.4,660956,584783,17483180,3.34,27841,4.76,"3,739,891",2180.33024,,,,,,,,
17,2021,Iowa,"2,944,288","175,145","36,029","105,255","9,474",215175,3197689,2053873,182524.5,133335,318834,541375,7802164,6.94,346139,63.94,"1,233,288",1023.26048,,,,,,,,
18,2021,Kansas,"2,613,212","231,547","71,648","117,340","8,364","376,207",2937922,1920925,172918.3,126619.5,290243,91027,3418047,2.66,5711,6.27,"1,676,854",940.13504,,,,,,,,
19,2021,Kentucky,"4,018,321","447,081","40,509","97,604","9,146","188,024",4506589,2558304,231179.8,184053.4,416072,556653,21835216,2.55,13467,2.42,"3,017,849",1442.10848,,,,,,,,
20,2021,Louisiana,"2,967,532","1,569,387","67,096","109,180","7,136","259,802",4627098,2694974,250700.7,195570.2,424818,562767,20002392,2.81,11022,1.96,"3,090,750",1480.67136,,,,,,,,
21,2021,Maine,"1,322,183","34,613","21,218","25,949","1,683","27,210",1377238,849493,80254.4,69379.8,107494,78226,2657803,2.94,10060,12.86,"525,231",440.71616,,,,,,,,
22,2021,Maryland,"3,719,405","2,065,938","87,364","498,184","16,005","689,373",6174610,3750161,430429.3,299934.1,531772,446939,13926140,3.21,38557,8.63,"2,315,431",1975.8752,,,,,,,,
23,2021,Massachusetts,"5,751,493","758,259","77,679","588,545","16,673","895,271",6989690,4777326,584291.1,408831.8,688028,355272,16157629,2.2,30493,8.58,"2,171,001",2236.7008,,,,,,,,
24,2021,Michigan,"8,168,342","1,572,600","160,751","415,825","13,994","560,135",10037504,5601637,567807.1,458227.3,926979,942031,27957775,3.37,41489,4.4,"5,147,051",3212.00128,,,,,,,,
25,2021,Minnesota,"4,885,256","505,747","126,565","354,239","10,907","333,620",5711471,3711807,378284.7,277462,499667,313000,11336665,2.76,24086,7.7,"1,574,783","1,828",,,,,,,,
26,2021,Mississippi,"1,772,237","1,142,932","32,638","44,788","5,201","102,124",2949586,1625695,135347.4,107510.2,289913,160639,5294168,3.03,6171,3.84,"1,854,199",944,,,,,,,,
27,2021,Missouri,"5,240,479","812,443","91,361","179,278","18,937","288,918",6169823,3796384,341254,277505.7,558016,303768,11378235,2.67,18420,6.06,"3,245,380","1,974",,,,,,,,
28,2021,Montana,"1,013,675","13,712","92,385","18,728","2,790","48,076",1106227,716176,62886.7,52880,102666,310163,2980056,10.41,204535,65.94,"523,097",354,,,,,,,,
29,2021,Nebraska,"1,766,029","129,882","46,571","68,115","4,918","236,480",1963554,1334434,120188.5,90703.4,188954,97671,3310993,2.95,8819,9.03,"859,370",628,,,,,,,,
30,2021,Nevada,"2,424,099","392,823","89,703","362,739","51,589","939,856",3146402,1912872,189308.2,140947,253546,267451,6372498,4.2,20465,7.65,"1,456,839","1,007",,,,,,,,
31,2021,New Hampshire,"1,311,826","36,893","12,984","51,310","1,890","61,187",1387505,894739,101674.5,78793.9,124420,41805,2084056,2.01,4132,9.88,"495,803",444,,,,,,,,
32,2021,New Jersey,"6,776,763","1,551,286","113,291","1,044,390","22,807","1,996,207",9267961,5585214,713720.6,506908.8,771827,445006,19012396,2.34,32350,7.27,"2,769,910",2965.74752,,,,,,,,
33,2021,New Mexico,"1,774,569","76,678","265,068","56,750","7,468","1,057,779",2116677,1092639,106451.2,84693.4,193520,158378,4769012,3.32,4559,2.88,"825,147",677,,,,,,,,
34,2021,New York,"14,106,859","3,887,847","337,866","2,067,557","55,631","3,894,598",19857492,12227874,1524128.5,1056366.2,1745253,986690,67156100,1.47,67699,6.86,"5,525,964",6354.39744,,,,,,,,
35,2021,North Carolina,"7,643,159","2,508,117","247,490","433,510","27,919","1,080,426",10565885,6318605,592695,463814.9,1005784,506796,15676150,3.23,49861,9.84,"5,550,172",3381.0832,,,,,,,,
36,2021,North Dakota,"693,551","34,133","50,895","18,312","2,041","34,822",777934,567834,50002.9,37338.5,85620,29381,1044301,2.81,648,2.21,"272,216",248.93888,,,,,,,,
37,2021,Ohio,"9,828,239","1,756,902","112,117","378,663","16,778","507,683",11764342,7048306,670035.6,519370.2,1058634,940091,39638415,2.37,41456,4.41,"5,187,393","3,765",,,,,,,,
38,2021,Oklahoma,"3,165,843","391,696","566,024","131,477","16,109","470,516",3991225,2314387,214760.7,154084,388812,293862,5776761,5.09,78247,26.63,"2,384,866","1,277",,,,,,,,
39,2021,Oregon,"3,836,587","145,150","151,558","282,213","37,972","596,978",4256301,2559698,261546.5,202876.8,356854,363484,9845328,3.69,47494,13.07,"2,013,559","1,362",,,,,,,,
40,2021,Pennsylvania,"10,813,605","1,779,484","125,685","596,813","23,011","1,084,917",13012059,7650343,833314.5,635754.1,1127884,455083,32695393,1.39,44975,9.88,"5,045,903","4,164",,,,,,,,
41,2021,Rhode Island,"939,727","118,519","22,072","49,160","4,100","187,724",1096985,640257,70531.5,51393.9,113825,68584,3275571,2.09,5796,8.45,"347,075",351,,,,,,,,
